employee_id,name,department,salary,age,years_experience,performance_score,city,hire_date,remote_work
EMP0433,Employee_433,HR,86645.67978550849,60.0,19,5,San Francisco,2013-07-20,Yes
EMP0144,Employee_144,Sales,66913.66749791183,56.0,14,4,New York,2011-03-06,
EMP0219,Employee_219,HR,93268.69806447401,59.0,3,,New York,2011-10-17,Yes
EMP0211,Employee_211,Marketing,79602.50129413257,34.0,3,3,New York,2011-09-23,no
EMP0125,Employee_125,Sales,90409.13651559678,33.0,3,1,,2011-01-08,yes
EMP0181,Employee_181,Sales,44237.50929644292,37.0,6,4,Chicago,2011-06-25,no
EMP0463,Employee_463,Finance,318113.0007874342,200.0,14,3,Boston,2013-10-18,No
EMP0350,Employee_350,HR,94451.94964826087,29.0,3,3,New York,2012-11-13,N/A
EMP0337,Employee_337,Operations,58036.291557885736,57.0,15,2,,2012-10-05,no
EMP0235,Employee_235,Engineering,69190.51089109376,37.0,11,2,Austin,2011-12-04,no
EMP0319,Employee_319,Engineering,53867.41652952193,51.0,8,3,New York,2012-08-12,
EMP0381,Employee_381,Engineering,84300.23019006077,52.0,15,3,,2013-02-14,yes
EMP0071,Employee_71,Finance,82859.39280090884,64.0,,3,Chicago,2010-07-30,yes
EMP0399,Employee_399,Finance,96195.8089586208,22.0,2,,Boston,2013-04-09,No
EMP0149,Employee_149,Engineering,71963.27784395682,50.0,14,3,Boston,2011-03-21,YES
EMP0085,Employee_85,Sales,79498.96605696713,34.0,14,4,Seattle,2010-09-10,Yes
EMP0064,Employee_64,Sales,63815.729562220964,26.0,13,3,Seattle,2010-07-09,YES
EMP0362,Employee_362,HR,69892.34135293355,35.0,18,3,,2012-12-19,YES
EMP0090,Employee_90,Marketing,80019.27920887244,52.0,17,4,,2010-09-25,Yes
EMP0246,Employee_246,Operations,115591.00638921227,54.0,12,1,Boston,2012-01-06,yes
EMP0178,Employee_178,Sales,78479.52935664318,33.0,4,4,Austin,2011-06-16,Yes
EMP0034,Employee_34,Operations,86350.36962820218,49.0,3,5,San Francisco,2010-04-10,yes
EMP0077,Employee_77,Finance,71005.4898401483,23.0,11,3,San Francisco,2010-08-17,Yes
EMP0083,Employee_83,Sales,74389.97704778945,23.0,11,2,New York,2010-09-04,YES
EMP0001,Employee_1,Sales,91835.11951554319,30.0,14,,Boston,2010-01-01,
EMP0012,Employee_12,,112077.44748330826,24.0,13,1,Chicago,2010-02-03,N/A
EMP0248,Employee_248,,76462.3786010516,34.0,15,5,Austin,2012-01-12,no
EMP0023,Employee_23,Sales,87405.91263423797,55.0,15,3,Seattle,2010-03-08,Yes
EMP0254,Employee_254,Sales,59098.42455872768,60.0,11,2,,2012-01-30,no
EMP0427,Employee_427,Marketing,113939.55768707466,41.0,10,1,Austin,2013-07-02,no
EMP0226,Employee_226,Sales,83888.3065817909,29.0,7,5,New York,2011-11-07,yes
EMP0125,Employee_125,Sales,90409.13651559678,33.0,3,1,,2011-01-08,yes
EMP0159,Employee_159,Sales,35567.109997454216,24.0,3,3,Seattle,2011-04-20,
EMP0453,Employee_453,Marketing,399216.1199238292,47.0,0,4,Seattle,2013-09-18,YES
EMP0019,Employee_19,Marketing,75998.69057041513,61.0,5,4,San Francisco,2010-02-24,
EMP0183,Employee_183,Operations,47584.16157948288,29.0,9,1,Austin,2011-07-01,Yes
EMP0336,Employee_336,Engineering,50796.63214686749,55.0,13,3,,2012-10-02,Yes
EMP0016,Employee_16,Engineering,73012.49954092455,63.0,8,,San Francisco,2010-02-15,No
EMP0387,Employee_387,Sales,97648.15478111042,31.0,7,2,,2013-03-04,no
EMP0040,Employee_40,Marketing,112372.63115064698,50.0,12,5,San Francisco,2010-04-28,no
EMP0486,Employee_486,Operations,,,10,5,Seattle,2013-12-26,N/A
EMP0047,Employee_47,Sales,79611.86331110884,54.0,,4,New York,2010-05-19,
EMP0094,Employee_94,HR,107391.49822869153,27.0,,3,Boston,2010-10-07,
EMP0168,Employee_168,Engineering,90088.41686602426,40.0,4,3,Seattle,2011-05-17,
EMP0210,Employee_210,Engineering,74799.67202290506,32.0,0,3,Chicago,2011-09-20,YES
EMP0371,Employee_371,Engineering,94866.35801761778,49.0,14,5,San Francisco,2013-01-15,YES
EMP0378,Employee_378,Engineering,83078.80200550701,33.0,13,4,Seattle,2013-02-05,yes
EMP0290,Employee_290,HR,69443.66624818249,32.0,0,4,Chicago,2012-05-17,no
EMP0469,Employee_469,Sales,421025.21239949274,,0,1,New York,2013-11-05,Yes
EMP0413,Employee_413,,85566.36752260922,30.0,0,4,Chicago,2013-05-21,No
EMP0303,Employee_303,Marketing,99219.19936406983,27.0,11,4,Chicago,2012-06-25,YES
EMP0432,Employee_432,Finance,102792.61591246874,50.0,1,1,,2013-07-17,yes
EMP0154,Employee_154,Marketing,73462.16260953703,35.0,16,3,Austin,2011-04-05,
EMP0221,Employee_221,HR,69524.21601792854,32.0,16,3,Seattle,2011-10-23,Yes
EMP0070,Employee_70,,69142.54335475311,53.0,2,2,,2010-07-27,no
EMP0363,Employee_363,Marketing,72769.64394016104,60.0,18,4,San Francisco,2012-12-22,No
EMP0484,Employee_484,HR,,,13,2,San Francisco,2013-12-20,N/A
EMP0174,Employee_174,Sales,76580.31038359474,55.0,0,3,San Francisco,2011-06-04,No
EMP0353,Employee_353,HR,118309.48888925153,44.0,12,2,Seattle,2012-11-22,
EMP0232,Employee_232,Marketing,99515.33247797383,33.0,2,1,Austin,2011-11-25,no
EMP0212,Employee_212,Finance,65424.72568435385,38.0,2,4,New York,2011-09-26,YES
EMP0193,Employee_193,Operations,55428.27508440317,45.0,9,4,Boston,2011-07-31,
EMP0447,Employee_447,,64917.184664958644,53.0,16,4,Austin,2013-08-31,no
EMP0325,Employee_325,,89220.34934405237,25.0,2,5,New York,2012-08-30,no
EMP0223,Employee_223,Engineering,49425.59502191443,54.0,4,2,Boston,2011-10-29,
EMP0155,Employee_155,,101713.84224130283,41.0,4,1,Austin,2011-04-08,No
EMP0423,Employee_423,Engineering,110115.12251147041,54.0,3,2,Boston,2013-06-20,YES
EMP0177,Employee_177,Finance,102422.49406863385,45.0,15,2,Austin,2011-06-13,
EMP0361,Employee_361,Sales,88735.33528954157,62.0,1,5,,2012-12-16,yes
EMP0416,Employee_416,Marketing,74679.10543565253,47.0,17,4,Seattle,2013-05-30,
EMP0205,Employee_205,HR,86431.32474438785,59.0,12,4,Austin,2011-09-05,no
EMP0341,Employee_341,Marketing,85368.67866130786,33.0,2,3,Boston,2012-10-17,No
EMP0279,Employee_279,Finance,70743.08434645672,32.0,1,3,Chicago,2012-04-14,no
EMP0456,Employee_456,Marketing,383740.9746083302,51.0,7,2,Boston,2013-09-27,N/A
EMP0365,Employee_365,Operations,66535.33507778191,41.0,18,3,Boston,2012-12-28,yes
EMP0087,Employee_87,Finance,54696.17875602895,62.0,15,1,Austin,2010-09-16,
EMP0434,Employee_434,Engineering,106309.60750130702,52.0,15,4,San Francisco,2013-07-23,N/A
EMP0196,Employee_196,Sales,76694.24172198397,36.0,16,1,Seattle,2011-08-09,YES
EMP0407,Employee_407,Sales,90431.57674390747,49.0,5,4,,2013-05-03,Yes
EMP0020,Employee_20,Sales,97456.99864694997,46.0,8,5,Boston,2010-02-27,Yes
EMP0349,Employee_349,Sales,105583.11274651287,47.0,1,5,New York,2012-11-10,yes
EMP0057,Employee_57,Engineering,43651.15799920247,64.0,16,2,New York,2010-06-18,no
EMP0372,Employee_372,Engineering,88696.72247389748,23.0,8,5,Seattle,2013-01-18,No
EMP0348,Employee_348,Engineering,50948.32791524319,56.0,,3,New York,2012-11-07,No
EMP0479,Employee_479,,,,16,3,Seattle,2013-12-05,yes
EMP0249,Employee_249,,64757.91249479665,51.0,9,3,,2012-01-15,
EMP0026,Employee_26,Finance,62507.15816324262,59.0,,3,Boston,2010-03-17,no
EMP0452,Employee_452,HR,300082.29796306044,22.0,15,4,Austin,2013-09-15,No
EMP0043,Employee_43,Engineering,106168.48973699176,55.0,12,3,,2010-05-07,yes
EMP0474,Employee_474,Operations,381646.5908877755,,10,3,,2013-11-20,yes
EMP0262,Employee_262,,83914.10266964376,61.0,4,3,Austin,2012-02-23,YES
EMP0173,Employee_173,Marketing,92889.04284756594,36.0,1,3,Boston,2011-06-01,no
EMP0291,Employee_291,Engineering,62788.483090683425,39.0,10,3,Seattle,2012-05-20,no
EMP0127,Employee_127,Operations,80221.0390626718,56.0,6,3,,2011-01-14,
EMP0343,Employee_343,Engineering,74204.80639381277,39.0,5,3,,2012-10-23,Yes
EMP0032,Employee_32,Engineering,87313.49268585717,58.0,5,2,San Francisco,2010-04-04,Yes
EMP0114,Employee_114,Finance,57344.00538071328,38.0,13,4,Boston,2010-12-06,Yes
EMP0230,Employee_230,HR,87584.42363950454,62.0,2,5,Seattle,2011-11-19,No
EMP0228,Employee_228,Sales,62490.21905403247,43.0,7,3,San Francisco,2011-11-13,Yes
EMP0430,Employee_430,Engineering,55288.79253926056,55.0,,5,San Francisco,2013-07-11,
EMP0058,Employee_58,Engineering,83217.59920974424,46.0,2,3,San Francisco,2010-06-21,yes
EMP0382,Employee_382,Finance,120416.0127127102,32.0,15,3,Austin,2013-02-17,no
EMP0025,Employee_25,Marketing,99232.2975617778,36.0,8,2,Seattle,2010-03-14,YES
EMP0018,Employee_18,Marketing,85939.61187529484,36.0,17,4,Chicago,2010-02-21,
EMP0266,Employee_266,Finance,107531.30059095514,30.0,0,1,Chicago,2012-03-06,YES
EMP0067,Employee_67,Engineering,65285.47907328913,44.0,1,5,Seattle,2010-07-18,YES
EMP0315,Employee_315,Operations,74545.5395896192,36.0,15,3,San Francisco,2012-07-31,YES
EMP0468,Employee_468,Operations,409450.8265553776,,11,3,New York,2013-11-02,YES
EMP0095,Employee_95,Finance,82441.64817038467,40.0,10,2,Boston,2010-10-10,yes
EMP0457,Employee_457,Engineering,293863.89892188506,39.0,,3,,2013-09-30,No
EMP0355,Employee_355,Engineering,48182.515373367096,35.0,12,3,Austin,2012-11-28,No
EMP0024,Employee_24,Sales,95288.77668117498,45.0,12,5,,2010-03-11,
EMP0250,Employee_250,Operations,51902.86656268461,54.0,15,1,Chicago,2012-01-18,Yes
EMP0273,Employee_273,Operations,88961.6952153571,33.0,0,4,,2012-03-27,Yes
EMP0301,Employee_301,Engineering,80193.4920368373,53.0,19,2,Seattle,2012-06-19,YES
EMP0006,Employee_6,Engineering,94838.38343013011,32.0,13,2,Chicago,2010-01-16,yes
EMP0117,Employee_117,Finance,57028.64852361717,38.0,7,4,Seattle,2010-12-15,N/A
EMP0046,Employee_46,HR,44215.35644479799,34.0,6,4,New York,2010-05-16,Yes
EMP0500,Employee_500,,,,15,,,2014-02-06,Yes
EMP0395,Employee_395,Sales,88554.02001866508,41.0,6,5,New York,2013-03-28,No
EMP0017,Employee_17,Sales,85104.87399436366,30.0,1,4,,2010-02-18,No
EMP0490,Employee_490,Operations,,,6,5,Seattle,2014-01-07,
EMP0376,Employee_376,Sales,87440.19629290723,22.0,,3,New York,2013-01-30,
EMP0004,Employee_4,HR,73461.92688675194,58.0,11,4,Boston,2010-01-10,No
EMP0489,Employee_489,,,,18,3,,2014-01-04,YES
EMP0449,Employee_449,Sales,84306.30225226437,26.0,8,3,Seattle,2013-09-06,No
EMP0061,Employee_61,Sales,92331.96492193696,48.0,10,4,Austin,2010-06-30,No
EMP0111,Employee_111,Sales,64255.07691347087,57.0,15,2,Boston,2010-11-27,yes
EMP0335,Employee_335,Engineering,91156.03537784118,36.0,0,5,Austin,2012-09-29,
EMP0275,Employee_275,Marketing,73526.75986239528,29.0,15,3,Chicago,2012-04-02,N/A
EMP0030,Employee_30,Engineering,70030.26926886893,39.0,3,5,,2010-03-29,yes
EMP0366,Employee_366,Sales,57966.30788767333,23.0,1,3,Seattle,2012-12-31,yes
EMP0186,Employee_186,HR,118528.74624550565,50.0,12,3,Austin,2011-07-10,no
EMP0027,Employee_27,Engineering,54317.716585287555,29.0,12,3,,2010-03-20,Yes
EMP0008,Employee_8,Operations,121629.17531708707,24.0,0,4,Chicago,2010-01-22,no
EMP0182,Employee_182,Engineering,64838.27378165192,48.0,10,,San Francisco,2011-06-28,N/A
EMP0478,Employee_478,HR,,,2,2,Chicago,2013-12-02,No
EMP0109,Employee_109,Sales,115462.48154539315,41.0,13,3,Chicago,2010-11-21,Yes
EMP0038,Employee_38,Engineering,104431.4190190871,61.0,1,5,,2010-04-22,no
EMP0158,Employee_158,Finance,113831.37241315801,48.0,18,3,Austin,2011-04-17,no
EMP0494,Employee_494,Engineering,,,4,2,Boston,2014-01-19,no
EMP0119,Employee_119,Operations,71987.14861756346,22.0,9,4,Chicago,2010-12-21,YES
EMP0115,Employee_115,HR,103523.55095063282,33.0,14,1,Seattle,2010-12-09,no
EMP0272,Employee_272,Operations,84517.49825779993,62.0,6,2,Boston,2012-03-24,yes
EMP0176,Employee_176,Engineering,126508.01597290878,46.0,16,4,Seattle,2011-06-10,No
EMP0209,Employee_209,Engineering,105750.79888515799,29.0,4,1,San Francisco,2011-09-17,yes
EMP0204,Employee_204,Operations,67878.32348182265,30.0,6,1,Boston,2011-09-02,N/A
EMP0145,Employee_145,Sales,97771.84917554748,34.0,12,4,New York,2011-03-09,No
EMP0195,Employee_195,Sales,91769.92814988828,41.0,8,3,Boston,2011-08-06,No
EMP0389,Employee_389,Finance,97436.19924434392,31.0,4,1,,2013-03-10,YES
EMP0401,Employee_401,Engineering,101678.44309097808,49.0,13,3,New York,2013-04-15,No
EMP0424,Employee_424,Marketing,67107.85395560993,35.0,16,1,San Francisco,2013-06-23,N/A
EMP0498,Employee_498,Engineering,,,5,3,Chicago,2014-01-31,YES
EMP0403,Employee_403,Marketing,83596.68577082705,58.0,4,3,New York,2013-04-21,yes
EMP0470,Employee_470,,321462.6853125262,,4,2,Seattle,2013-11-08,YES
EMP0142,Employee_142,Sales,85961.69893322764,25.0,12,4,Chicago,2011-02-28,Yes
EMP0385,Employee_385,Finance,99155.0387091095,35.0,3,3,San Francisco,2013-02-26,YES
EMP0068,Employee_68,Finance,95080.93031035688,63.0,13,4,New York,2010-07-21,YES
EMP0278,Employee_278,HR,74131.5045773247,28.0,19,2,Boston,2012-04-11,
EMP0169,Employee_169,Engineering,91752.05324150404,26.0,14,3,New York,2011-05-20,no
EMP0189,Employee_189,Marketing,101588.11162366979,48.0,6,3,Austin,2011-07-19,YES
EMP0462,Employee_462,HR,472765.0069955447,150.0,16,4,Boston,2013-10-15,YES
EMP0396,Employee_396,Operations,58293.11282579797,29.0,17,4,,2013-03-31,N/A
EMP0238,Employee_238,Engineering,111908.40092309956,41.0,16,2,Boston,2011-12-13,No
EMP0194,Employee_194,HR,107875.08086413858,24.0,6,1,,2011-08-03,Yes
EMP0082,Employee_82,HR,100150.1542009461,60.0,14,4,San Francisco,2010-09-01,no
EMP0110,Employee_110,Engineering,95778.20087369317,53.0,3,4,Austin,2010-11-24,
EMP0461,Employee_461,Engineering,364458.4321953909,-5.0,7,4,Seattle,2013-10-12,Yes
EMP0146,Employee_146,Engineering,51769.598754620805,62.0,,2,,2011-03-12,YES
EMP0093,Employee_93,Finance,146577.61616910476,56.0,12,3,San Francisco,2010-10-04,No
EMP0153,Employee_153,Engineering,105125.85618428882,23.0,15,3,Chicago,2011-04-02,YES
EMP0245,Employee_245,Engineering,51150.707405703615,54.0,4,4,Chicago,2012-01-03,No
EMP0415,Employee_415,HR,103765.67611951995,41.0,,3,,2013-05-27,Yes
EMP0431,Employee_431,Engineering,90341.00531738518,46.0,3,3,New York,2013-07-14,yes
EMP0084,Employee_84,Engineering,73483.6351871064,53.0,3,3,New York,2010-09-07,No
EMP0104,Employee_104,Marketing,102632.79513898901,51.0,3,3,Chicago,2010-11-06,YES
EMP0166,Employee_166,Operations,81886.45529215841,41.0,0,2,Chicago,2011-05-11,Yes
EMP0164,Employee_164,Marketing,72920.29626568359,37.0,3,5,Boston,2011-05-05,N/A
EMP0200,Employee_200,Finance,89964.41172600671,28.0,18,4,Boston,2011-08-21,Yes
EMP0256,Employee_256,HR,118380.43050578787,59.0,19,4,Austin,2012-02-05,No
EMP0075,Employee_75,Finance,124294.50265832778,39.0,5,,Austin,2010-08-11,Yes
EMP0324,Employee_324,Sales,118929.12736580076,58.0,1,2,Austin,2012-08-27,yes
EMP0239,Employee_239,HR,116863.73253278794,54.0,2,5,Austin,2011-12-16,no
EMP0497,Employee_497,HR,,,9,5,San Francisco,2014-01-28,no
EMP0120,Employee_120,Marketing,75257.49232470608,43.0,3,4,San Francisco,2010-12-24,No
EMP0305,Employee_305,Finance,77780.6766836184,40.0,16,5,New York,2012-07-01,YES
EMP0313,Employee_313,Engineering,103480.54038413802,56.0,5,2,,2012-07-25,No
EMP0267,Employee_267,Finance,79622.22618890338,27.0,,1,San Francisco,2012-03-09,no
EMP0105,Employee_105,Operations,84840.54717366766,58.0,,3,Boston,2010-11-09,no
EMP0422,Employee_422,Finance,75425.02756673045,26.0,12,5,Boston,2013-06-17,Yes
EMP0493,Employee_493,Sales,,,10,4,Chicago,2014-01-16,No
EMP0306,Employee_306,,108186.59606728496,43.0,9,5,Austin,2012-07-04,
EMP0393,Employee_393,Sales,83511.33141799907,22.0,3,5,New York,2013-03-22,no
EMP0438,Employee_438,Operations,77743.22879120681,41.0,8,4,San Francisco,2013-08-04,Yes
EMP0404,Employee_404,Operations,51780.78132968017,58.0,4,5,Chicago,2013-04-24,
EMP0285,Employee_285,HR,109921.70384995258,47.0,1,3,San Francisco,2012-05-02,No
EMP0287,Employee_287,Marketing,78146.24811839302,62.0,,4,Seattle,2012-05-08,Yes
EMP0037,Employee_37,Sales,80020.71703041853,38.0,5,5,New York,2010-04-19,No
EMP0197,Employee_197,Finance,97655.6373221257,46.0,10,1,San Francisco,2011-08-12,
EMP0140,Employee_140,,48902.35798670962,55.0,0,,Boston,2011-02-22,YES
EMP0384,Employee_384,Operations,121248.97115993858,24.0,3,4,San Francisco,2013-02-23,
EMP0263,Employee_263,Engineering,80381.30939582644,32.0,19,3,Boston,2012-02-26,yes
EMP0298,Employee_298,Engineering,94787.49122455835,57.0,10,2,New York,2012-06-10,yes
EMP0299,Employee_299,HR,60557.44382216109,29.0,14,5,Chicago,2012-06-13,No
EMP0060,Employee_60,Sales,98393.45097660077,57.0,5,4,Austin,2010-06-27,N/A
EMP0112,Employee_112,Engineering,81193.22643832784,25.0,,4,,2010-11-30,
EMP0276,Employee_276,Marketing,74062.82117519216,49.0,11,4,Boston,2012-04-05,no
EMP0269,Employee_269,Sales,136467.1960649972,60.0,5,5,New York,2012-03-15,N/A
EMP0412,Employee_412,,98630.01394745249,23.0,4,3,Seattle,2013-05-18,YES
EMP0151,Employee_151,Operations,67791.73269432095,32.0,9,4,Chicago,2011-03-27,
EMP0296,Employee_296,Marketing,62418.96457565542,46.0,5,2,Chicago,2012-06-04,No
EMP0039,Employee_39,Finance,97907.51899170295,53.0,17,5,Chicago,2010-04-25,no
EMP0330,Employee_330,Sales,107066.03764033043,62.0,9,3,Boston,2012-09-14,No
EMP0199,Employee_199,Operations,88637.3251011699,35.0,13,2,San Francisco,2011-08-18,YES
EMP0451,Employee_451,Finance,427525.02464070386,55.0,1,4,,2013-09-12,No
EMP0147,Employee_147,HR,83678.40402705366,60.0,8,3,Chicago,2011-03-15,no
EMP0031,Employee_31,HR,116023.03951045046,27.0,1,3,Chicago,2010-04-01,Yes
EMP0148,Employee_148,Marketing,60779.676004750865,36.0,8,5,Austin,2011-03-18,N/A
EMP0322,Employee_322,Finance,120095.8836396873,45.0,2,1,,2012-08-21,no
EMP0300,Employee_300,Engineering,99259.96860344776,50.0,4,4,New York,2012-06-16,N/A
EMP0124,Employee_124,Engineering,68380.99767177925,50.0,12,3,Chicago,2011-01-05,No
EMP0454,Employee_454,Operations,339300.55778872455,64.0,9,3,Boston,2013-09-21,no
EMP0097,Employee_97,Marketing,52871.07359484855,28.0,14,5,New York,2010-10-16,Yes
EMP0144,Employee_144,Sales,66913.66749791183,56.0,14,4,New York,2011-03-06,
EMP0240,Employee_240,Engineering,74775.68647137629,31.0,1,5,San Francisco,2011-12-19,No
EMP0332,Employee_332,Finance,88006.03522923755,55.0,0,3,Austin,2012-09-20,N/A
EMP0098,Employee_98,Marketing,89069.27271734446,31.0,,,,2010-10-19,no
EMP0417,Employee_417,Sales,86922.41553881967,50.0,12,1,Austin,2013-06-02,N/A
EMP0369,Employee_369,Engineering,66012.02222336114,38.0,10,3,Seattle,2013-01-09,No
EMP0123,Employee_123,Sales,85970.43255889654,35.0,16,5,Chicago,2011-01-02,no
EMP0184,Employee_184,Operations,77969.73031917383,46.0,8,1,Seattle,2011-07-04,no
EMP0203,Employee_203,Engineering,101606.71633088491,57.0,9,5,Chicago,2011-08-30,No
EMP0247,Employee_247,Marketing,81839.84202842021,62.0,14,3,Chicago,2012-01-09,N/A
EMP0321,Employee_321,Marketing,59391.41295007434,52.0,,5,,2012-08-18,YES
EMP0312,Employee_312,Engineering,59977.72847229394,31.0,13,4,Seattle,2012-07-22,
EMP0370,Employee_370,Engineering,137647.6412967478,46.0,17,4,San Francisco,2013-01-12,N/A
EMP0495,Employee_495,Marketing,,,4,3,Austin,2014-01-22,N/A
EMP0418,Employee_418,Sales,75754.49422589915,22.0,,5,Austin,2013-06-05,yes
EMP0297,Employee_297,Finance,74509.59467440452,40.0,2,2,Boston,2012-06-07,
EMP0126,Employee_126,Marketing,83995.23781101726,57.0,10,1,New York,2011-01-11,no
EMP0317,Employee_317,Marketing,70913.12618914482,28.0,19,1,Seattle,2012-08-06,
EMP0224,Employee_224,Sales,114920.88622978366,59.0,11,2,Boston,2011-11-01,yes
EMP0441,Employee_441,Engineering,116591.44291461425,63.0,9,4,Boston,2013-08-13,no
EMP0220,Employee_220,Operations,122535.91625116131,53.0,12,4,Boston,2011-10-20,N/A
EMP0130,Employee_130,Marketing,100107.82451651512,50.0,6,4,San Francisco,2011-01-23,YES
EMP0443,Employee_443,Sales,76596.26365808285,42.0,9,3,,2013-08-19,no
EMP0302,Employee_302,Marketing,77503.58384900805,39.0,9,3,San Francisco,2012-06-22,No
EMP0406,Employee_406,Operations,89153.75374326222,58.0,,4,San Francisco,2013-04-30,yes
EMP0398,Employee_398,Marketing,97211.71490567646,33.0,19,1,Boston,2013-04-06,YES
EMP0429,Employee_429,Sales,105636.8907893727,64.0,19,,Seattle,2013-07-08,YES
EMP0374,Employee_374,Finance,99006.19758817983,58.0,8,4,Chicago,2013-01-24,no
EMP0308,Employee_308,Sales,97318.71213888528,53.0,17,,San Francisco,2012-07-10,
EMP0295,Employee_295,Engineering,99433.4412808647,34.0,17,,,2012-06-01,Yes
EMP0458,Employee_458,Marketing,369120.48730920255,38.0,10,3,New York,2013-10-03,yes
EMP0357,Employee_357,Engineering,72503.62844608643,23.0,19,1,Boston,2012-12-04,no
EMP0113,Employee_113,Operations,67487.63493230485,48.0,19,3,New York,2010-12-03,
